State/Territory,Sewershed_ID,Counties_Served,Population_Served,WVAL_Category,Reporting_Week,date_updated
"Illinois","ID:488","Sangamon","102000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:478","Perry","6448","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:477","Peoria","131000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:471","Macoupin","4480","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:470","Macon","88500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:465","Mchenry","15947","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:464","Mchenry","10240","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:463","Mchenry","15360","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:462","Mchenry","4288","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:461","Mchenry","36552","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:459","Lee","15115","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:457","La Salle","18768","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:455","Lake","105208","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:454","Lake","55735","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:453","Lake","80000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:447","Jo Daviess","3460","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:445","Iroquois","4700","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:444","Greene","3064","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:443","Fulton","13506","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:442","Effingham","12384","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:441","Du Page","63000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:440","Du Page","18800","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:437","Du Page","45000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:431","Cook","270647","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:419","Cook","1263110","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:418","Cook","13098","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:417","Cook","110394","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:413","Cook","1134897","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:409","Champaign","91041","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:406","Bureau","5400","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:405","Bureau","7555","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:400","Adams","50695","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:2433","Coles","17000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:2416","Kendall","286000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:2362","Kane","143088","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:2361","Kane","44703","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:2360","Kane","25766","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:491","Stephenson","23650","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:486","Saint Clair","32289","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:484","Saint Clair","26150","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:456","Lake","126629","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:448","Kane","11290","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:438","Du Page","86000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:435","Du Page","65000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:432","De Kalb","45000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:430","Cook","217106","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:429","Cook","1127736","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:423","Cook","1127737","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:410","Champaign","52000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:407","Carroll","5615","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:482","Rock Island","25202","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:472","Madison","26000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:449","Kankakee","56317","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:433","Du Page","40438","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:489","Sangamon","50000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:460","Mcdonough","15052","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:439","Du Page","164781","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:492","Tazewell","32540","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:487","Saint Clair","85593","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:485","Saint Clair","26150","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:483","Rock Island","43768","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:480","Randolph","6814","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:451","Kendall","23000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:411","Christian","12663","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Illinois","ID:401","Boone","25134","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:500","Allen","315000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2461","Tippecanoe","71000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:530","Tippecanoe","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:529","St Joseph","130000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:522","Monroe","28350","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:520","Marion","800000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:519","Lawrence","12000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:518","Lake","28000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:516","Kosciusko","21600","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:514","Jasper","5800","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:508","Dubois","16000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:507","Delaware","67000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:501","Bartholomew","50000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2424","Elkhart","51600","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2343","Vanderburgh","55000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2320","Warrick","10260","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:532","Wayne","36000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:531","Vigo","58500","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:523","Monroe","67500","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:510","Hamilton","86000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:506","Clark","25000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:505","Clark","25000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2405","Lake","200000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:511","Hamilton","98000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:509","Elkhart","35000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2599","Porter","38882","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:2344","Vanderburgh","61000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:524","Noble","10000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Indiana","ID:512","Howard","45000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2634","Polk","520000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2589","Story","66000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2588","Dubuque","59667","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2462","Emmet","5904","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2246","Linn","137210","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:2212","Scott","141344","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:541","Wapello","25529","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:539","Marshall","27400","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:535","Johnson","75000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:533","Clinton","29300","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:543","Dakota, Woodbury, Union","110000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:536","Johnson","23000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Iowa","ID:540","Muscatine","24400","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:556","Wyandotte","90000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:548","Johnson","112076","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:547","Johnson","66377","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:555","Wyandotte","35000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:553","Shawnee","40000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:550","Johnson","54985","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:549","Johnson","150442","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:2211","Johnson","42235","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:554","Shawnee","95000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:552","Saline","47000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:545","Douglas","80000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:557","Wyandotte","15000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kansas","ID:551","Reno","39712","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:585","Warren","67233","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:581","Pulaski","7500","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:583","Shelby","32160","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:578","Madison","37000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:562","Calloway","28837","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2239","Perry","7303","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2210","Kenton","212000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2324","Jefferson","31269","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2322","Jefferson","295910","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2323","Jefferson","32460","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2321","Jefferson","55928","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2234","Boyd","21654","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2238","Jessamine","164960","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:568","Jefferson","423913","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2240","Pike","10435","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2237","Floyd","8187","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2236","Fayette","121386","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Kentucky","ID:2235","Carter","4614","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Louisiana","ID:639","Orleans","333406","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Louisiana","ID:655","Orleans","333406","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:714","Piscataquis","1000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:708","Knox","7000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:699","Cumberland","6100","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:697","Aroostook","2400","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:723","York","12000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:722","York","20000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:718","Waldo","4000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:716","Sagadahoc","8700","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:703","Cumberland","6000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:702","Cumberland","8500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:698","Aroostook","5000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:696","Aroostook","5740","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:695","Aroostook","5000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:694","Androscoggin","60000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:712","Penobscot","40000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:709","Lincoln","2222","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:700","Cumberland","65000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:707","Kennebec","5200","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:710","Oxford","1500","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maine","ID:701","Cumberland","17000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:734","Garrett","3000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:731","Anne Arundel","78365","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:730","Anne Arundel","22660","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:728","Anne Arundel","11802","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:726","Anne Arundel","89319","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:737","Washington","90000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:729","Anne Arundel","150078","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:2441","Montgomery","208364","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:736","Saint Marys","55000","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Maryland","ID:727","Anne Arundel","91838","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:752",,"1075656","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:743",,"1375228","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:760","Worcester","250000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:757","Worcester","42000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:741","Middlesex","228285","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:740","Hampden","55000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Massachusetts","ID:742","Suffolk, Middlesex, Worcester, Plymouth, Norfolk","2400000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:972","Oakland, Macomb","1482000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:970","Macomb, Wayne","492000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:967","Oakland, Wayne","840600","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:951","Schoolcraft","3412","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:911","Menominee","3842","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:904","Marquette","25000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:900","Manistee","8154","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:811","Houghton","14000","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:809","Gratiot","8976","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:796","Gogebic","6500","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:788","Dickinson","13500","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:787","Delta","12600","Limited/No Data","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:990","Wexford","10450","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:954","Washtenaw","150000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:912","Midland","40000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:860","Kent","145000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:815","Ingham","22500","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:774","Calhoun","70000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:966","Washtenaw","330000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:896","Macomb","16300","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:895","Macomb","140000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:886","Kent","75000","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:833","Isabella","25629","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:888","Lenawee","8680","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:845","Jackson","90000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:794","Genesee","95000","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:798","Grand Traverse","30623","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Michigan","ID:910","Mecosta","21000","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:993","Blue Earth, Nicollet","70000","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:2640","Wright","16168","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1029","Washington","114148","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1025","Scott, Hennepin, Carver","450074","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1023","Saint Louis","5879","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1022","Rice, Dakota","22502","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1018","Otter Tail","14119","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1016","Nobles","13947","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1014","Morrison","9140","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1011","Lyon","13628","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1010","Le Sueur","5173","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1008","Kandiyohi","21015","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1007","Kandiyohi","5885","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1006","Kanabec","3772","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1004","Hennepin","12971","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1002","Freeborn","18544","Very Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:998","Dakota","22154","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:996","Dakota","185832","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1028","Sherburne, Benton, Stearns","120961","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1017","Olmsted","121395","Low","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:997","Scott, Hennepin, Dakota","255624","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1030","Washington","30355","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1021","Anoka, Hennepin, Dakota, Ramsey, Washington","1955095","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1003","Goodhue","16547","Moderate","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1027","Sherburne","25835","High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:991","Anoka","11786","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
"Minnesota","ID:1000","Douglas","23378","Very High","March 22, 2026 - March 28, 2026","2026-04-02T06:58:58.208Z"
